Content Name (in Call Flow),ContentID,Message Text (English),Message Text (French)
ChildWelcomeMessage,ChildWelcomeMessage,Hi! Welcome to French reading lessons with Allo Alphabet!,Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit1,"In this unit.. you will be working on lessons about the sounds of words.",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit2,"In this unit.. you will be working on lessons about the sounds of word parts.. called syllables.",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit3,"In this unit.. you will be working on lessons about the sounds at the beginnings and ends of words and syllables",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit4,"In this unit.. you will be working on lessons to understand the relationship between sounds and written letters",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit5,"In this unit.. you will be working on lessons to understand the relationship between more complex sounds and written letters",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit6,"In this unit.. you will be working on lessons to understand how to combine letters to make words",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit7,"In this unit.. you will be working on lessons to understand how to combine the sounds of letters to make words",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
UnitSummary,UnitSummary_Unit8,"In this unit.. you will be working on lessons to understand how to combine letters with more complex sounds to make words",Salut! Bienvenue aux cours de lecture en français avec Allo Alphabet!
LessonExplanation,LessonExplanation_1_1,"In this lesson.. you are going to try to pick out the word that ends with a certain sound. We'll tell you a sound to listen for.. and then you'll choose the word that ends in that sound.","Dans cette leçon.. vous allez essayer de choisir le mot qui se termine par un certain son. Nous allons vous dire un son pour écouter.. et vous choisirez le mot qui se termine par ce son."
LessonExplanation,LessonExplanation_2_2,"In this lesson.. you are going to try to pick out the syllable that ends with a certain sound. We'll tell you a sound to listen for.. and then you'll choose the syllable that ends in that sound.","Dans cette leçon.. vous allez essayer de choisir la syllabe qui se termine par un certain son. Nous allons vous dire un son pour écouter.. et vous choisirez la syllabe qui se termine par ce son."
LessonExplanation,LessonExplanation_1_3,"In this lesson.. you are going to hear some words. Two of them go together and one does not belong. Choose the word that does not belong with the others.","Dans cette leçon.. vous allez écouter quelques mots. Deux d'entre eux se accordent bien et l'autre n'appartient pas. Choisissez le mot qui n'appartient pas avec les autres."
LessonExplanation,LessonExplanation_2_4,"In this lesson.. you are going to hear some syllables. Two of them go together and one does not belong. Choose the word that does not belong with the others.","Dans cette leçon.. vous allez entendre quelques syllabes. Deux d'entre eux s'accordent bien et l'autre n'appartient pas. Choisissez le mot qui n'appartient pas avec les autres."
LessonExplanation,LessonExplanation_1_5,"In this lesson.. you're going to learn about rhymes. A rhyme is when two different words have the same final sound.. like quoi and pas. You'll hear two words and then you'll choose whether you think they rhyme or not.","Dans cette leçon.. vous allez en apprendre sur les rimes. Une rime est quand deux mots différents ont le même son final.. comme pas et quoi. Vous entendrez deux mots et vous choisirez si vous pensez qu'ils riment ou non."
LessonExplanation,LessonExplanation_2_6,"In this lesson.. you're going to learn about rhymes. A rhyme is when two different syllables have the same final sound.. like ta and ma. You'll hear two syllables and then you'll choose whether you think they rhyme or not.","Dans cette leçon.. vous allez en apprendre sur les rimes. Une rime est quand deux syllabes différentes ont le même son final.. comme ta et ma. Vous entendrez deux syllabes et vous choisirez si vous pensez qu'ils riment ou non."
