Content ID,FeatureID (from Feature List),Content Name (from Call Flow),ContentID,Unit number,Question number,Message Text (English),Message Text (French),Question/Comments,"Reviewed by CMU.. Delaware.. Eneza?",Ready to record?,Recorded?,Audio split? (if necessary),Directory of audio file,Audio matched to lookup key?
,----,MainWelcomeMessage,MainWelcomeMessage,,,"Hello.. and welcome to the Allo Alphabet French literacy lessons!","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",,"CMU,",,,,,
,2,IDPrompt,IDPrompt,,,"We want to give you information so you can know what your child is learning.. and tell you some ways you can help. But.. you're calling in from a number we don't recognize.  Look at the red box your child's phone is in. Please type in the three-digit number on the top of the box. Or.. if you can't find the box today.. press 9.","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!","Michel.. Would that need to be 999? Can we make this shorter?","CMU,",,,,,
,2,ParentConfirmation,ParentConfirmation,,,Great! You entered $PHONE_ID$.,"Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",,"CMU,",,,,,
,2,ParentIDCallAgain,ParentIDCallAgain,,,"No problem. You can call us back again when you know the number on the box.. and we'll be able to give you information about your child's lessons and how you can help. Thank you for calling! Goodbye!","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",,"CMU,",,,,,
,1,ChildHandoff,ChildHandoff,,,"If you're ready for your child to start the lessons.. press 1 and give them the phone. If you want to stay on the line to hear more about how you can be involved with your child's lessons.. press 2 and stay on the call.","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",,"CMU,",,,,,
,1,ParentIntro,ParentIntro,,,Thanks for calling to find out more about the French literacy lessons your child is learning! Having someone like you who is interested in their learning is very important for their development.,"Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",,"CMU,",,,,,
,----,MainParentMenuOptions,MainParentMenuOptions,,,"Press 1 to hear about how well your child is learning. Press 2 to hear about ways you can help them learn. Press 3 to hear about learning games you can help them play. Or.. press 4 to hear more information about this program.","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",,"CMU,",,,,,
,3,LocalLanguage,LocalLanguageOptions,,,"{In Attié} ""Press 1 for Attié."" {In Koulongo} ""Press 2 for Koulongo."" {In Dioula} ""Press 3 for Dioula"". {In Baoulé} ""Press 4 for Baoulé.""","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!","Kaja/Fabrice.. any other language groups? Carole.. do you think we can get someone who speaks these to record a few sentences only?","CMU,",,,,,
,3,LocalLanguage,LocalLanguageOptions_Attie,,,"This system is designed to help your child learn the basics of learning to read in French. Make sure they call the number every day with the phone we gave them.. to receive new lessons. If you know someone who speaks French.. they can call this number to learn more about how to to help your child learn with our system.","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",Can we make this shorter?,"CMU,",,,,,
,3,LocalLanguage,LocalLanguageOptions_Koulongo,,,"This system is designed to help your child learn the basics of learning to read in French. Make sure they call the number every day with the phone we gave them.. to receive new lessons. If you know someone who speaks French.. they can call this number to learn more about how to to help your child learn with our system.","Bonjour.. et bienvenue aux cours d'alphabétisation Allo Alphabet français!",Can we make this shorter?,"CMU,",,,,,
