Content ID,FeatureID (from Feature List),Content Name (from Call Flow),ContentID,Unit number,Question number,Message Text (English) [DRAFT],Message Text (French),Question/Comment,Reviewed by?,Recorded?,Filename (should be same as ContentID),Audio split? (if necessary),Directory of audio file,Audio matched to lookup key?
,----,MainWelcomeMessage,MainWelcomeMessage,,,"Hello, and welcome to the Allo Alphabet French literacy lessons!","Bonjour, et bienvenue aux cours d'alphabétisation Allo Alphabet français!",,,,MainWelcomeMessage,,,
,2,IDPrompt,IDPrompt,,,"We want to give you information so you can know what your child is learning, and tell you some ways you can help. But, you're calling in from a number we don't recognize.  Look at the red box your child's phone is in. Please type in the three-digit number on the top of the box. Or, if you can't find the box today, press 9.","Nous voulons vous donner des informations afin que vous puissiez savoir ce que votre enfant apprend, et vous dire quelques façons dont vous pouvez aider. Mais, vous appelez à partir d'un nombre que nous ne reconnaissons pas. Regardez la boîte rouge de téléphone de votre enfant est. S'il vous plaît taper le numéro à trois chiffres sur le dessus de la boîte. Ou, si vous ne trouvez pas la boîte aujourd'hui, appuyez sur 9.","Michel, Would that need to be 999?",,,IDPrompt,,,
,2,ParentConfirmation,ParentConfirmation,,,Great! You entered $PHONE_ID$.,Génial! Vous avez entré $ PHONE_ID $.,,,,ParentConfirmation,,,
,2,ParentIDCallAgain,ParentIDCallAgain,,,"That's okay. You can call us back again when you know the number on the box, and we'll be able to give you information about your child's lessons. Thank you for calling! Goodbye!","C'est bon. Vous pouvez nous appeler à nouveau lorsque vous connaissez le numéro de la boîte, et nous serons en mesure de vous donner des informations sur les leçons de votre enfant. Merci de votre appel! Au revoir!",,,,ParentIDCallAgain,,,
,1,ChildHandoff,ChildHandoff,,,"If you're ready for your child to start the lessons, press 1 and give them the phone. If you want to stay on the line to hear more about how you can be involved with your child's lessons, press 2 and stay on the call.","Si vous êtes prêt pour votre enfant pour commencer les leçons, appuyez sur 1 et leur donner le téléphone. Si vous voulez rester sur la ligne pour en savoir plus sur la façon dont vous pouvez participer aux leçons de votre enfant, appuyez sur 2 et rester sur l'appel.",This seems like it assumes the parent is the one calling in,,,ChildHandoff,,,
,1,ParentIntro,ParentIntro,,,Thanks for calling to find out more about the French literacy lessons your child is learning! Having someone like you who is interested in their learning is so important for their growth.,Merci d'avoir appelé à en savoir plus sur les cours d'alphabétisation en français par votre enfant! Avoir quelqu'un comme vous qui est intéressé par leur apprentissage est si important pour leur croissance.,Is this too heavy-handed?,,,ParentIntro,,,
,----,MainParentMenuOptions,MainParentMenuOptions,,,"Press 1 to hear about how well your child is learning. Press 2 to hear about ways you can help them learn. Press 3 to hear about learning games you can help them play. Or, press 4 to hear more information about this program.","Appuyez sur 1 pour entendre parler de la façon dont votre enfant apprend. Appuyez sur 2 pour entendre parler de façons dont vous pouvez les aider à apprendre. Appuyez sur 3 pour entendre sur les jeux d'apprentissage, vous pouvez les aider à jouer. Ou, appuyez sur 4 pour entendre plus d'informations sur ce programme.",,,,MainParentMenuOptions,,,
,3,LocalLanguage,LocalLanguageOptions,,,"{In Attié} ""Press 1 for Attié."" {In Koulongo} ""Press 2 for Koulongo."" {In Dioula} ""Press 3 for Dioula"". {In Baoulé} ""Press 4 for Baoulé.""","{En} Attié ""Appuyez sur 1 pour Attié."" {En} Koulongo ""Appuyez sur 2 pour Koulongo."" {En} Dioula ""Appuyez sur 3 pour Dioula"". {En} Baoulés « Appuyez sur 4 pour Baoulés. »",Any other language groups?,,,LocalLanguageOptions,,,
,3,LocalLanguage,LocalLanguageOptions_Attie,,,"This system is designed to help your child learn the basics of learning to read in French. Make sure they call the number every day with the phone we gave them, to receive new lessons. If you know someone who speaks French, they can call this number to learn more about how to to help your child learn with our system.","Ce système est conçu pour aider votre enfant à apprendre les rudiments d'apprendre à lire en français. Assurez-vous qu'ils appellent le numéro tous les jours avec le téléphone que nous leur avons donné, pour recevoir de nouvelles leçons. Si vous connaissez quelqu'un qui parle français, ils peuvent appeler ce numéro pour en savoir plus sur la façon de pour aider votre enfant à apprendre avec notre système.",Anything else here?,,,LocalLanguageOptions_Attie,,,
,3,LocalLanguage,LocalLanguageOptions_Koulongo,,,"This system is designed to help your child learn the basics of learning to read in French. Make sure they call the number every day with the phone we gave them, to receive new lessons. If you know someone who speaks French, they can call this number to learn more about how to to help your child learn with our system.","Ce système est conçu pour aider votre enfant à apprendre les rudiments d'apprendre à lire en français. Assurez-vous qu'ils appellent le numéro tous les jours avec le téléphone que nous leur avons donné, pour recevoir de nouvelles leçons. Si vous connaissez quelqu'un qui parle français, ils peuvent appeler ce numéro pour en savoir plus sur la façon de pour aider votre enfant à apprendre avec notre système.",Anything else here?,,,LocalLanguageOptions_Koulongo,,,
